PLACES,CATEGORY,DISTANCE
"Marina Beach,Chennai",Beaches,5
"Elliot's Beach,Chennai",Beaches,4
"Government Museum, Egmore,Chennai",Museums,3
"Chennai Rail Museum,Chennai",Museums,3
"Birla Planetarium,Chennai",Museums,3
"Vivekanandar Illam,Chennai",Historical Monuments,4
"Valluvar Kottam,Chennai",Historical Monuments,4
"Fort St George,Chennai",Historic Government Buildings,4
"Ripon Building,Chennai",Historic Government Buildings,5
"Arignar Anna Zoological Park,Chennai",Wildlife,3
"Vandalur Zoo,Chennai",Wildlife,4
"Madras Crocodile Bank Trust,Chennai",Wildlife,4
"Guindy National Park,Chennai",Wildlife,3
"Snake Park,Chennai",Wildlife,3
"Children's Park,Chennai",Wildlife,3
"Adyar Eco Park,Chennai",Nature,4
"Chetpet Lake,Chennai",Nature,4
"The Huddleston Gardens of Theosophical Society,Chennai",Nature,3
"Dakshina Chitra,Chennai",Art and Crafts,5
"Kalakshetra,Chennai",Art and Crafts,4
"Cholamandalam Artists' Village,Chennai",Art and Crafts,5
"Kapaleeshwarar temple,Chennai",Places of Worship,3
"Parthasarathy Temple,Chennai",Places of Worship,5
"St. Thomas Mount,Chennai",Places of Worship,1
"Santhome Basilica,Chennai",Places of Worship,2
"Armenian Church of Virgin Mary,Chennai",Places of Worship,2
"St. Mary's Church,Chennai",Places of Worship,2
"T. Nagar,Chennai",Shopping,2
"George Town,Chennai",Shopping,1
"Parrys Corner,Chennai",Shopping,1
"Mint Street,Chennai",Shopping,5
"Burma Bazaar,Chennai",Shopping,4
"Moore Market,Chennai",Shopping,1
